datetime,open,high,low,close,volumn,openinterest
2018-01-04,63.3632,64.4159,62.9438,63.5059,1061157.84,0.0
2018-01-05,63.8717,64.1304,62.8546,63.2472,772075.81,0.0
2018-01-08,63.158,63.158,61.8464,62.462,1228729.53,0.0
2018-01-09,62.7208,64.3089,62.4799,64.1215,1239491.15,0.0
2018-01-10,63.8806,64.1215,63.0866,63.9877,828123.01,0.0
2018-01-11,63.3899,65.2368,63.3453,64.8174,1096288.95,0.0
2018-01-12,64.8263,66.468,64.5319,66.3877,1282662.94,0.0
2018-01-15,67.2263,70.0367,67.2263,69.2784,2006598.66,0.0
2018-01-16,69.3051,70.9111,68.8769,69.4211,1501643.17,0.0
2018-01-17,69.6798,70.7951,68.2523,69.0018,1413574.16,0.0
2018-01-18,70.0902,71.4731,68.7698,69.2427,2074471.38,0.0
2018-01-19,69.8583,70.5363,68.6003,69.2248,1553809.12,0.0
2018-01-22,68.7966,70.6612,68.743,70.2508,1215882.86,0.0
2018-01-23,71.6427,72.517,69.8494,70.2687,1919898.4,0.0
2018-01-24,70.4828,70.8754,68.1453,68.1988,1689141.04,0.0
2018-01-25,67.7438,67.7973,66.7356,67.1728,1234396.52,0.0
2018-01-26,67.1817,68.5646,67.1014,67.8955,1125546.5,0.0
2018-01-29,68.3951,68.4308,65.0315,65.4509,1517843.51,0.0
2018-01-30,65.0405,66.3431,64.9512,65.4687,867816.93,0.0
2018-01-31,64.8174,67.0479,64.7014,66.9854,934726.29,0.0
2018-02-01,66.9141,67.4494,66.0665,67.3423,1415762.91,0.0
2018-02-02,66.7981,68.1453,66.1379,67.8152,1007583.37,0.0
2018-02-05,66.3787,67.7616,66.2895,67.5475,948054.42,0.0
2018-02-06,65.888,66.6464,64.6836,65.8167,2049666.83,0.0
2018-02-07,66.5572,66.6018,62.8992,63.6843,1747840.83,0.0
2018-02-08,62.9974,63.7914,60.9989,61.552,1530108.9,0.0
2018-02-09,59.3305,59.7498,55.4941,57.4836,2492029.78,0.0
2018-02-12,57.6888,58.5721,57.1,57.9565,1029611.77,0.0
2018-02-13,59.0628,60.981,58.9379,59.7944,1147957.2,0.0
2018-02-14,60.2227,61.7305,59.955,61.4628,646501.88,0.0
2018-02-22,62.6583,62.8278,61.7661,62.2479,783649.99,0.0
2018-02-23,62.6762,63.7557,62.3015,63.0241,556011.07,0.0
2018-02-26,63.3364,63.8628,62.0962,63.1669,693840.92,0.0
2018-02-27,63.3632,63.5148,61.9803,62.2836,780994.82,0.0
2018-02-28,61.7394,61.7751,60.4011,60.4546,782170.46,0.0
2018-03-01,59.9372,61.9,59.6695,61.4985,663296.17,0.0
2018-03-02,60.6687,61.2576,60.178,60.3832,581439.32,0.0
2018-03-05,60.3654,61.1951,59.7766,60.5617,609823.8,0.0
2018-03-06,61.0256,61.9089,60.1334,61.8464,657077.23,0.0
2018-03-07,61.5431,62.6137,60.8293,61.3647,590555.01,0.0
2018-03-08,61.6145,63.2026,61.3468,62.9349,692681.65,0.0
2018-03-09,63.3453,63.7557,62.7297,63.2472,476222.0,0.0
2018-03-12,63.8806,64.1126,62.9884,63.4524,583351.47,0.0
2018-03-13,63.5237,63.6576,61.7215,61.9357,609492.27,0.0
2018-03-14,61.4271,61.7394,60.9007,61.4003,514760.79,0.0
2018-03-15,61.0345,63.0777,61.0256,62.8903,627110.86,0.0
2018-03-16,63.0777,64.1929,62.8546,62.9081,701326.23,0.0
2018-03-19,63.2472,65.9148,62.8814,65.8524,924499.82,0.0
2018-03-20,65.2189,66.1914,64.862,66.1022,659778.35,0.0
2018-03-21,68.4308,68.4397,65.1565,65.8613,1367485.93,0.0
2018-03-22,65.5847,66.1735,63.952,65.0226,902877.52,0.0
2018-03-23,62.4531,63.1401,61.9357,62.7208,1486954.92,0.0
2018-03-26,61.7394,62.4264,59.7587,60.9186,1380985.19,0.0
2018-03-27,62.0784,62.1498,60.2227,60.8115,1039920.27,0.0
2018-03-28,59.7766,60.3832,57.8851,58.3491,1420787.82,0.0
2018-03-29,58.3669,60.0264,56.6628,59.2323,1462545.73,0.0
2018-03-30,58.8933,59.1253,57.8137,58.2688,842022.51,0.0
2018-04-02,57.323,59.1074,57.2963,57.6888,805559.09,0.0
2018-04-03,57.0554,57.9476,56.9573,57.555,604070.68,0.0
2018-04-04,57.903,58.5097,57.0822,57.5907,679989.53,0.0
2018-04-09,57.9833,58.8755,57.1446,58.8487,716142.85,0.0
2018-04-10,58.6078,61.0256,58.3401,60.8918,905139.72,0.0
2018-04-11,60.9364,61.1773,60.2048,60.3743,720924.32,0.0
2018-04-12,60.5885,60.642,59.5,59.5267,544502.5,0.0
2018-04-13,60.1602,60.178,58.929,59.045,466385.74,0.0
2018-04-16,58.8933,59.4732,56.9929,57.3677,809639.57,0.0
2018-04-17,57.4926,57.8673,56.0561,56.3238,831672.88,0.0
2018-04-18,56.9037,57.0554,55.8509,56.6628,764845.49,0.0
2018-04-19,57.0108,57.9476,56.7967,57.5282,726473.75,0.0
2018-04-20,57.2784,57.8762,56.6628,57.2338,603340.73,0.0
2018-04-23,57.2338,58.1349,56.9037,57.9833,544466.66,0.0
2018-04-24,58.3491,59.8301,58.242,59.384,906954.07,0.0
2018-04-25,58.9201,59.2948,58.2688,58.4383,477827.61,0.0
2018-04-26,58.5989,58.7862,56.0383,56.3149,841553.82,0.0
2018-04-27,56.6985,56.8591,52.0502,54.3253,2602862.57,0.0
2018-05-02,54.7446,55.1283,54.2004,54.7268,708908.42,0.0
2018-05-03,54.3164,54.9409,53.442,54.816,629125.38,0.0
2018-05-04,54.7179,54.9944,54.1022,54.1647,441586.75,0.0
2018-05-07,54.022,54.8428,53.2725,54.593,829447.83,0.0
2018-05-08,54.7446,56.9929,54.6376,56.2792,1174720.62,0.0
2018-05-09,56.297,56.5647,55.7796,56.1632,484431.0,0.0
2018-05-10,56.4755,56.877,55.8599,56.3684,498178.32,0.0
2018-05-11,56.7253,56.7967,56.0383,56.297,452105.51,0.0
2018-05-14,56.8323,57.6175,56.6539,57.1892,683709.16,0.0
2018-05-15,57.5461,57.6264,56.5647,57.0732,529529.16,0.0
2018-05-16,56.8145,57.0286,55.8777,56.0383,559514.39,0.0
2018-05-17,56.2881,56.3773,55.2621,55.3156,477782.23,0.0
2018-05-18,55.2086,56.3149,54.9498,56.2435,566253.26,0.0
2018-05-21,56.6985,57.2338,56.4487,56.7967,705065.71,0.0
2018-05-22,56.7253,56.9573,55.7617,56.2167,437692.14,0.0
2018-05-23,56.1632,56.1632,55.0212,55.1015,569154.52,0.0
2018-05-24,55.2799,55.5565,54.5662,54.6197,441513.27,0.0
2018-05-25,54.7625,55.4762,54.7268,54.8963,353929.69,0.0
2018-05-28,55.1372,56.1007,54.9141,55.7617,458948.75,0.0
2018-05-29,55.6011,55.9045,54.6911,55.6547,636474.46,0.0
2018-05-30,54.7,55.048,54.0487,54.1112,490836.64,0.0
2018-05-31,54.5216,55.4762,54.1647,55.4316,665388.31,0.0
2018-06-01,55.2353,55.4851,54.6732,54.9944,408007.64,0.0
2018-06-04,55.4048,56.8413,55.2264,56.6807,858897.4,0.0
2018-06-05,56.7342,57.9922,56.3952,57.6175,885172.55,0.0
2018-06-06,57.4836,57.5015,56.8413,56.9305,490220.28,0.0
2018-06-07,57.5362,58.6911,57.3088,57.5089,746266.79,0.0
2018-06-08,57.2633,57.5089,56.3358,56.7359,579391.37,0.0
2018-06-11,56.6086,57.4725,56.2448,57.3179,512803.13,0.0
2018-06-12,57.4725,58.4273,57.1269,58.1091,763559.25,0.0
2018-06-13,58.0181,58.1182,57.6089,57.9727,459053.26,0.0
2018-06-14,57.8181,59.4277,57.6998,58.6001,798484.71,0.0
2018-06-15,58.2909,59.2549,58.2182,58.7729,666582.72,0.0
2018-06-19,58.0181,58.3819,56.1994,56.4631,1278263.6,0.0
2018-06-20,56.2903,56.8723,55.2718,56.2448,743195.22,0.0
2018-06-21,56.2539,56.8905,55.4719,55.5537,605493.96,0.0
2018-06-22,55.1081,55.9266,55.1081,55.5355,465376.39,0.0
2018-06-25,55.7265,55.7902,54.1987,54.3715,607496.72,0.0
2018-06-26,53.7441,54.2078,52.5619,53.8714,717927.64,0.0
2018-06-27,53.7441,54.0623,52.2345,52.2891,697084.1,0.0
2018-06-28,51.9344,52.6983,51.407,51.6798,735991.24,0.0
2018-06-29,51.9435,53.3167,51.9253,53.2712,645112.04,0.0
2018-07-02,52.9984,52.9984,49.6973,50.2157,900189.16,0.0
2018-07-03,50.5613,51.4343,49.4063,51.2342,949167.01,0.0
2018-07-04,51.1342,51.7253,50.3521,50.4885,519493.68,0.0
