datetime,open,high,low,close,volumn,openinterest
2018-01-04,18.0097,18.0784,17.9017,17.9901,83392.26,0.0
2018-01-05,17.9214,18.1275,17.9116,18.098,98415.47,0.0
2018-01-08,18.1275,18.1471,17.8527,17.9606,120053.62,0.0
2018-01-09,17.9312,18.1078,17.8821,18.0882,108411.33,0.0
2018-01-10,18.0882,18.098,17.7545,17.9606,88056.63,0.0
2018-01-11,17.8134,17.9116,17.5975,17.6662,149265.79,0.0
2018-01-12,17.6466,17.7545,17.6171,17.6662,64536.3,0.0
2018-01-15,17.7251,17.7643,17.3914,17.4405,99744.13,0.0
2018-01-16,17.4012,17.5386,17.3227,17.5386,87451.36,0.0
2018-01-17,17.5582,17.5582,17.2344,17.3718,92462.16,0.0
2018-01-18,17.3031,17.4208,17.3031,17.3718,75347.83,0.0
2018-01-19,17.3718,17.4012,17.1853,17.2147,116041.54,0.0
2018-01-22,17.1362,17.4012,17.0773,17.3914,97089.45,0.0
2018-01-23,17.411,17.4797,17.2442,17.3619,80177.98,0.0
2018-01-24,17.3619,17.676,17.3227,17.6564,166185.36,0.0
2018-01-25,17.6171,17.8821,17.5484,17.7153,101641.35,0.0
2018-01-26,17.7251,17.8036,17.5484,17.676,96669.7,0.0
2018-01-29,17.5484,17.7055,17.2932,17.3521,119329.0,0.0
2018-01-30,17.1558,17.1558,16.4296,16.4884,260123.54,0.0
2018-01-31,16.4786,16.4786,15.7033,15.7622,227003.78,0.0
2018-02-01,15.7916,15.8309,14.6041,14.7905,359572.93,0.0
2018-02-02,14.7316,15.0163,14.6826,14.8003,151451.57,0.0
2018-02-05,14.6728,14.9966,14.5354,14.9181,165723.52,0.0
2018-02-06,14.4568,14.8102,14.2605,14.6041,147703.48,0.0
2018-02-07,14.7316,14.977,14.6041,14.8592,139925.82,0.0
2018-02-08,14.869,15.5266,14.8592,15.35,152159.81,0.0
2018-02-09,15.0457,15.3009,14.4274,14.869,141800.27,0.0
2018-02-12,14.9083,15.0752,14.7218,14.9574,110469.6,0.0
2018-02-13,15.0752,15.0948,14.8887,14.9181,77289.29,0.0
2018-02-14,14.9377,14.977,14.7022,14.7807,53718.22,0.0
2018-02-22,14.8887,15.0752,14.82,15.0163,87058.45,0.0
2018-02-23,15.0653,15.0948,14.8396,14.8887,108537.17,0.0
2018-02-26,14.9083,15.2813,14.8985,15.2813,159183.06,0.0
2018-02-27,15.2126,15.4187,15.134,15.3794,140248.9,0.0
2018-02-28,15.2714,15.5561,15.0457,15.3696,134966.73,0.0
2018-03-01,15.2714,15.4677,15.1831,15.4088,90005.04,0.0
2018-03-02,15.4088,15.8211,15.2518,15.3009,152232.67,0.0
2018-03-05,15.3107,15.3598,15.0555,15.134,134221.67,0.0
2018-03-06,15.2518,15.5266,15.134,15.4874,172949.02,0.0
2018-03-07,15.4187,15.5364,15.1733,15.2126,148648.1,0.0
2018-03-08,15.2224,15.8603,15.2224,15.7327,311040.09,0.0
2018-03-09,15.7033,15.7327,15.5659,15.7229,193004.8,0.0
2018-03-12,15.772,15.8309,15.6346,15.7425,247147.41,0.0
2018-03-13,15.7327,15.7327,15.4579,15.4775,154124.19,0.0
2018-03-14,15.4383,15.6346,15.4187,15.4481,130629.39,0.0
