datetime,open,high,low,close,volumn,openinterest
2018-01-04,50.9251,52.0887,50.7433,52.0796,405557.08,0.0
2018-01-05,52.3614,52.9069,51.5887,52.6887,371854.23,0.0
2018-01-08,52.4523,52.9978,51.5615,52.416,367884.8,0.0
2018-01-09,52.5432,54.4977,52.0342,54.0704,448054.13,0.0
2018-01-10,54.1704,55.7249,53.5432,55.0522,448966.88,0.0
2018-01-11,54.5522,55.3431,53.525,54.1977,316035.28,0.0
2018-01-12,54.1977,55.6158,53.9068,55.2704,252900.2,0.0
2018-01-15,55.7431,56.9612,55.4522,55.5976,367225.73,0.0
2018-01-16,55.4522,56.2067,54.6341,55.534,289365.28,0.0
2018-01-17,55.4522,55.4613,53.1341,53.4068,414037.03,0.0
2018-01-18,53.6341,54.3522,53.1796,53.5886,223781.55,0.0
2018-01-19,53.5886,53.7341,52.6341,52.8796,313878.69,0.0
2018-01-22,53.2523,55.9431,53.2523,55.8431,458501.48,0.0
2018-01-23,55.7976,56.943,54.7522,56.4703,386472.52,0.0
2018-01-24,56.7158,56.9521,54.725,54.9159,326126.54,0.0
2018-01-25,55.2704,55.834,53.6341,55.7249,282564.17,0.0
2018-01-26,55.7249,56.9885,55.0249,56.3613,333516.39,0.0
2018-01-29,56.334,56.5249,53.5432,54.425,467085.83,0.0
2018-01-30,54.0159,55.1613,53.1796,53.4159,309516.25,0.0
2018-01-31,53.025,54.9249,52.9069,54.3795,254072.43,0.0
2018-02-01,54.5431,54.6341,52.8523,53.9432,380031.98,0.0
2018-02-02,53.5886,54.625,53.0887,54.4522,224897.36,0.0
2018-02-05,53.5523,54.125,51.3615,52.1069,554639.01,0.0
2018-02-06,50.6342,50.7342,48.9252,50.4524,880342.48,0.0
2018-02-07,51.2706,51.4342,47.9162,47.9889,533538.62,0.0
2018-02-08,47.8162,49.4888,47.7343,48.8798,439782.28,0.0
2018-02-09,47.2253,47.6798,45.589,47.2525,603648.4,0.0
2018-02-12,47.2525,49.8888,47.2435,49.4706,374561.67,0.0
2018-02-13,50.0342,51.3615,49.707,50.2797,258920.44,0.0
2018-02-14,50.5524,51.9069,49.7434,51.7433,219574.39,0.0
2018-02-22,52.9978,53.1977,51.9978,52.8523,251527.19,0.0
2018-02-23,53.1341,53.1614,51.7251,52.316,180501.79,0.0
2018-02-26,52.3432,52.9887,51.816,52.4523,246266.25,0.0
2018-02-27,52.5341,52.5341,49.6161,49.6343,478853.16,0.0
2018-02-28,49.407,50.7251,48.8161,49.9524,318721.04,0.0
2018-03-01,49.9888,51.3524,49.8343,50.5433,237900.09,0.0
2018-03-02,49.8706,52.4341,49.7888,51.1069,364903.64,0.0
2018-03-05,51.0069,51.4069,50.4706,50.9251,204171.01,0.0
2018-03-06,51.3887,51.5342,49.907,51.0887,195030.43,0.0
2018-03-07,51.1433,51.9614,50.7524,51.1433,208925.02,0.0
2018-03-08,51.6978,53.8159,51.2706,53.7886,380518.89,0.0
2018-03-09,54.0613,54.8977,53.3887,54.4613,394729.38,0.0
2018-03-12,55.434,56.8521,54.8613,55.2068,461325.37,0.0
2018-03-13,55.1795,56.534,54.7795,55.5067,377823.89,0.0
2018-03-14,55.1795,56.0249,54.4977,54.9068,272072.16,0.0
2018-03-15,54.4522,56.2703,54.3613,55.8249,266963.01,0.0
2018-03-16,55.5431,55.8431,54.0886,54.2613,258105.03,0.0
2018-03-19,54.2613,54.7977,53.6341,54.1523,211597.83,0.0
2018-03-20,53.7341,54.2068,52.9978,53.9432,177637.64,0.0
2018-03-21,54.2068,54.5068,52.9796,52.9796,197251.69,0.0
2018-03-22,53.525,53.5432,51.2342,51.7251,329378.31,0.0
2018-03-23,49.7252,51.316,48.8434,51.1251,641627.14,0.0
2018-03-26,50.4524,50.8888,49.1797,50.2433,373098.49,0.0
2018-03-27,51.0615,51.2524,49.1888,49.6434,471063.61,0.0
2018-03-28,48.6252,49.0888,47.2798,48.2889,544504.12,0.0
2018-03-29,48.5616,50.7069,47.5434,50.2706,385947.2,0.0
2018-03-30,49.9979,50.3251,49.4161,49.5706,308814.66,0.0
2018-04-02,48.4525,49.9979,47.8889,48.0343,417151.5,0.0
2018-04-03,47.898,48.7525,47.4344,47.7434,311895.2,0.0
2018-04-04,48.0162,49.1797,47.3253,48.1889,371528.21,0.0
2018-04-09,48.098,48.4616,46.3617,46.6344,427970.42,0.0
2018-04-10,46.7707,47.998,46.5253,47.9707,354240.96,0.0
2018-04-11,47.9798,48.7525,47.6434,48.1616,467614.31,0.0
2018-04-12,48.098,48.1252,47.1253,47.1526,252074.52,0.0
2018-04-13,47.6343,47.698,46.3708,46.6526,240215.67,0.0
2018-04-16,46.6435,47.0889,44.6799,45.2617,444709.74,0.0
2018-04-17,45.2163,45.9526,44.1709,45.3526,313437.61,0.0
2018-04-18,45.9981,46.0253,43.5891,44.2981,416079.64,0.0
2018-04-19,44.8436,46.8798,44.5436,46.8798,433660.15,0.0
2018-04-20,47.0798,48.1798,46.3162,46.7253,430416.24,0.0
2018-04-23,47.1798,48.0707,46.3617,47.3162,289044.16,0.0
2018-04-24,47.6071,48.9707,47.6071,48.6798,373871.15,0.0
2018-04-25,48.5889,48.7798,47.1798,47.8343,363801.49,0.0
2018-04-26,46.9798,47.5707,46.2617,46.7253,331102.45,0.0
2018-04-27,47.6525,47.6525,45.9526,46.9798,403465.69,0.0
2018-05-02,46.5708,47.3707,45.8526,46.6798,306862.39,0.0
2018-05-03,46.498,48.407,46.2071,48.3616,307890.23,0.0
2018-05-04,48.4898,49.0292,47.3831,47.5226,302842.88,0.0
2018-05-07,47.7923,48.8339,47.3831,48.7316,290619.67,0.0
2018-05-08,48.7595,50.5636,48.7502,50.1265,422795.51,0.0
2018-05-09,49.7638,50.3125,49.7173,50.173,174054.05,0.0
2018-05-10,50.4985,50.8054,50.1265,50.5729,221495.33,0.0
2018-05-11,50.9635,51.0379,49.8103,49.987,170190.63,0.0
2018-05-14,50.2102,51.5494,50.0335,51.3727,323949.61,0.0
2018-05-15,51.6424,51.94,50.824,51.3541,282097.13,0.0
2018-05-16,51.0472,51.2611,50.2288,50.5915,243427.27,0.0
2018-05-17,50.4055,50.4985,49.3082,49.4012,228996.93,0.0
2018-05-18,49.5499,50.1916,48.7409,50.1172,244458.9,0.0
2018-05-21,50.5729,50.731,49.7638,50.173,179497.18,0.0
2018-05-22,50.1265,50.1265,48.3596,48.9455,351262.89,0.0
2018-05-23,48.8246,48.8246,48.1085,48.1736,221088.68,0.0
2018-05-24,48.1643,48.341,47.1041,47.3366,222461.15,0.0
2018-05-25,47.2436,47.8295,46.7786,47.0483,261596.3,0.0
2018-05-28,47.3366,48.5735,46.7786,48.3038,277886.43,0.0
2018-05-29,47.8946,48.5363,47.6714,47.8853,216606.95,0.0
2018-05-30,46.7321,47.8202,46.388,47.1599,269194.28,0.0
2018-05-31,47.4761,49.522,47.3366,49.2059,488366.76,0.0
2018-06-01,48.8246,49.178,48.3038,48.4991,244886.63,0.0
2018-06-04,49.1966,50.4985,49.0292,50.2102,487208.67,0.0
2018-06-05,50.9635,51.2425,49.9591,51.1216,413210.79,0.0
2018-06-06,51.4006,51.5587,50.6008,50.9077,260084.08,0.0
2018-06-07,51.2146,51.4378,50.266,50.4985,264889.57,0.0
2018-06-08,50.3404,51.3355,50.2381,50.8333,363711.21,0.0
2018-06-11,50.8333,52.684,50.7961,52.3771,581583.96,0.0
2018-06-12,52.3864,53.707,51.9772,53.1862,585180.81,0.0
2018-06-13,53.3722,53.986,52.8142,53.0002,360546.42,0.0
2018-06-14,53.1955,53.4094,51.5308,51.8749,354846.0,0.0
2018-06-15,52.0051,52.963,51.7075,52.3399,310752.41,0.0
2018-06-19,51.2425,52.0795,50.0149,50.7961,591142.47,0.0
2018-06-20,50.7961,51.8656,50.3683,51.2983,296507.4,0.0
2018-06-21,51.6145,52.126,50.4055,50.4241,307448.09,0.0
2018-06-22,49.9219,49.9219,48.6758,49.894,358578.36,0.0
2018-06-25,49.9405,50.3497,49.1594,49.1966,272065.65,0.0
2018-06-26,48.4061,49.2896,48.1364,48.6665,302757.01,0.0
2018-06-27,48.7502,49.3547,46.946,46.946,426516.2,0.0
2018-06-28,46.5461,47.6342,46.0439,46.5926,361035.79,0.0
