datetime,open,high,low,close,volumn,openinterest
2018-01-04,205.5292,206.8645,199.3175,204.2532,29055.86,0.0
2018-01-05,203.363,207.3689,200.9001,205.8358,24464.66,0.0
2018-01-08,204.7478,205.727,197.9228,199.9011,26736.46,0.0
2018-01-09,198.9515,202.4728,198.6152,200.5935,16246.48,0.0
2018-01-10,199.8022,201.4639,189.4164,191.3947,36067.72,0.0
2018-01-11,189.4164,197.3195,186.8249,195.3511,27196.71,0.0
2018-01-12,193.8675,203.7488,189.911,198.8625,29264.06,0.0
2018-01-15,197.5272,197.5272,189.911,190.6825,25042.79,0.0
2018-01-16,190.6825,193.8576,189.911,191.3551,14144.67,0.0
2018-01-17,190.91,191.8694,183.9862,187.27,22176.21,0.0
2018-01-18,186.2611,189.7132,183.9664,184.4708,17702.71,0.0
2018-01-19,186.9436,187.4085,184.2928,184.4708,12862.76,0.0
2018-01-22,182.9871,183.9862,166.8447,174.728,29723.5,0.0
2018-01-23,174.3225,186.726,174.3225,183.185,31341.32,0.0
2018-01-24,183.4718,187.8338,181.8793,183.996,22822.0,0.0
2018-01-25,182.9871,187.7646,181.3155,183.6795,25361.6,0.0
2018-01-26,180.0297,182.7596,178.2196,178.5856,15953.0,0.0
2018-01-29,176.8546,176.8546,169.3571,171.1078,23017.1,0.0
2018-01-30,170.821,170.821,167.3096,168.1503,14113.14,0.0
2018-01-31,168.0317,168.1108,157.1513,157.6657,29043.44,0.0
2018-02-01,156.3897,160.7319,154.5005,157.092,16679.56,0.0
2018-02-02,154.3027,154.3027,147.2601,148.6647,22248.0,0.0
2018-02-05,142.4332,146.6864,137.5767,138.091,25546.38,0.0
2018-02-06,133.5015,147.2305,130.6924,139.4362,31133.09,0.0
2018-02-07,143.2245,143.9664,134.0455,139.5945,22120.81,0.0
2018-02-08,138.457,146.4985,136.7953,145.1039,21676.53,0.0
2018-02-09,140.455,151.4045,139.0504,147.181,29086.63,0.0
2018-02-12,149.3571,156.9535,149.2483,156.2018,24354.8,0.0
2018-02-13,158.2591,158.7141,151.8398,153.2245,17298.15,0.0
2018-02-14,152.1266,154.2928,147.092,149.2582,14044.99,0.0
2018-02-22,149.3571,155.094,147.2601,152.6706,16254.34,0.0
2018-02-23,151.0682,154.2334,149.0603,150.0692,14022.18,0.0
2018-02-26,152.1068,165.0742,150.5045,165.0742,37480.93,0.0
2018-02-27,167.1612,173.3234,165.0742,166.5381,34615.7,0.0
2018-02-28,162.6409,170.1187,161.7804,167.1316,20420.27,0.0
2018-03-01,164.5203,170.6528,162.7399,169.1395,30320.67,0.0
2018-03-02,166.6667,171.6123,163.9169,163.9763,24719.9,0.0
2018-03-05,164.8566,174.5895,162.4135,173.2542,34095.81,0.0
2018-03-06,173.0959,178.091,170.6231,173.274,34883.47,0.0
2018-03-07,172.1068,173.8279,168.8328,169.1395,21318.43,0.0
2018-03-08,169.1395,173.1949,167.181,170.3759,18987.94,0.0
2018-03-09,170.0396,175.0445,168.9713,173.7883,25929.49,0.0
2018-03-12,175.3709,177.9228,173.7883,174.7478,24501.24,0.0
2018-03-13,174.2829,180.277,173.4224,176.0633,30942.87,0.0
2018-03-14,175.0643,176.0534,168.8427,169.1395,29373.33,0.0
2018-03-15,166.3205,167.7448,161.2265,165.272,26981.29,0.0
2018-03-16,166.1721,168.0317,164.1939,164.4115,16031.69,0.0
2018-03-19,164.1939,166.6568,161.82,163.64,15530.7,0.0
2018-03-20,161.2957,176.7359,160.366,173.5114,37989.09,0.0
2018-03-21,173.5213,173.9862,164.1939,165.0841,29677.33,0.0
2018-03-22,166.4886,167.3591,163.3136,164.1939,14387.8,0.0
2018-03-23,157.3887,160.6825,148.8625,151.9288,29542.82,0.0
2018-03-26,148.269,157.181,146.9634,156.8051,19009.21,0.0
2018-03-27,159.2483,163.5509,159.2483,161.5232,21487.05,0.0
2018-03-28,158.2591,170.5045,157.27,164.4807,33408.94,0.0
2018-03-29,164.5401,166.6667,159.7824,162.4629,18565.01,0.0
2018-03-30,162.4629,167.1612,162.4629,166.0534,19655.71,0.0
2018-04-02,168.1503,175.8358,168.1503,169.9407,29088.89,0.0
2018-04-03,166.1721,175.0742,165.0643,170.1187,25998.55,0.0
2018-04-04,170.0297,173.9763,167.2601,167.458,19137.74,0.0
2018-04-09,166.1721,166.1721,158.2591,163.0069,18523.9,0.0
2018-04-10,162.2156,166.1721,161.7409,164.3917,14974.27,0.0
2018-04-11,164.5697,165.4797,159.8516,160.633,19520.58,0.0
2018-04-12,159.4461,162.1958,159.3472,159.4461,11813.99,0.0
2018-04-13,162.1761,163.0762,159.4263,159.6637,10546.52,0.0
2018-04-16,158.2591,158.8526,156.2809,157.4283,12289.98,0.0
2018-04-17,157.0722,159.1494,154.8764,154.9159,14032.79,0.0
2018-04-18,156.0831,157.2601,147.3788,155.4006,18562.19,0.0
2018-04-19,154.3027,162.8684,153.5114,161.2859,18801.3,0.0
2018-04-20,158.5856,161.2265,154.184,154.3719,14691.93,0.0
2018-04-23,153.3234,155.7962,149.8516,152.2255,12059.31,0.0
2018-04-24,152.2255,156.0336,151.3353,155.45,11718.3,0.0
2018-04-25,154.3126,158.6944,153.4718,157.1909,12608.7,0.0
