datetime,open,high,low,close,volumn,openinterest
2021-01-05,81.6283,81.6283,80.0344,81.4061,1054786.27,0.0
2021-01-06,81.4255,82.8262,80.7106,82.8262,937598.48,0.0
2021-01-07,82.9518,83.8115,81.4351,83.3285,1069687.24,0.0
2021-01-08,83.2899,84.2945,82.3142,83.1739,1169367.95,0.0
2021-01-11,83.2705,83.657,81.1453,81.1743,1098602.34,0.0
2021-01-12,81.0294,84.8355,80.4981,84.8355,1467556.09,0.0
2021-01-13,85.7822,86.2459,83.8791,84.565,1390943.39,0.0
2021-01-14,85.3958,85.5117,81.9954,82.3722,1379273.8,0.0
2021-01-15,83.0194,85.6373,82.3722,83.9468,1587085.01,0.0
2021-01-18,84.0434,84.6713,82.4011,84.2366,1162419.91,0.0
2021-01-19,84.6036,85.1543,83.116,83.8502,1103328.31,0.0
2021-01-20,84.1593,84.3621,82.0244,82.3045,1319775.53,0.0
2021-01-21,82.4591,82.5074,80.9521,81.5704,1393055.4,0.0
2021-01-22,82.1113,82.2562,80.6816,80.9521,1162752.48,0.0
2021-01-25,80.8555,81.9954,79.7736,81.9954,1279801.18,0.0
2021-01-26,81.6283,81.9954,80.0634,80.1793,1051397.41,0.0
2021-01-27,80.16,81.0584,79.7736,80.2179,682737.75,0.0
2021-01-28,79.4065,79.7736,77.9092,78.17,1061087.31,0.0
2021-01-29,78.1507,78.6723,75.8322,76.3925,1269800.32,0.0
2021-02-01,76.4118,77.0301,75.7066,76.5761,724901.44,0.0
2021-02-02,76.5857,76.7499,75.3009,75.5231,988364.47,0.0
2021-02-03,75.0981,75.0981,72.741,73.9388,1343842.98,0.0
2021-02-04,75.3492,77.5904,75.0594,76.9142,1416547.71,0.0
2021-02-05,77.2812,77.5517,75.9385,77.0108,845572.25,0.0
2021-02-08,77.0204,77.6966,75.6197,75.8998,796546.99,0.0
2021-02-09,75.8902,75.8902,74.19,75.4748,914121.87,0.0
2021-02-10,75.2526,77.0977,74.8566,76.5567,919686.74,0.0
2021-02-18,78.7303,80.0441,78.141,79.5804,1466782.05,0.0
2021-02-19,79.2133,81.6863,78.9042,81.3385,1240617.62,0.0
2021-02-22,81.3868,82.3915,79.7736,80.1793,1130341.1,0.0
2021-02-23,79.7156,82.2949,79.6963,81.4544,1016600.45,0.0
2021-02-24,80.6623,82.8455,79.6963,80.9328,1173554.82,0.0
2021-02-25,81.6476,85.2799,80.5174,84.1786,1897489.55,0.0
2021-02-26,82.8841,84.1689,82.2852,82.2852,1180455.13,0.0
2021-03-01,83.0773,83.4444,80.9908,81.9568,823008.01,0.0
